year;name;boxOfficeId;twitter_mentions;won
2009;Il Divo;ildivo;0;0
2010;In a Better World;inabetterworld;0;1
2003;In America;inamerica;94;0
2008;In Bruges;inbruges;1;0
2011;In Darkness;indarkness;0;0
2001;In the Bedroom;inthebedroom;1;0
2009;In the Loop;intheloop;1;0
2007;In the Valley of Elah;inthevalleyofelah;0;0
2010;Incendies;;0;0
2010;Inception;inception;77;1
2009;Inglourious Basterds;inglouriousbasterds;6;1
2014;Inherent Vice;inherentvice;7;0
2013;Inside Llewyn Davis;insidellewyndavis;43;0
2014;Interstellar;interstellar;259;1
2007;Into the Wild;intothewild;1;0
2014;Into the Woods;intothewoods;22;0
2009;Invictus;eastwood09;2;0
2001;Iris;iris;176;1
2008;Iron Man;ironman;14;0
2010;Iron Man 2;ironman2;1;0
2013;Iron Man 3;ironman3;10;0
2011;Jane Eyre;janeeyre2011;0;0
2005;Joyeux Noël;;0;0
2009;Julie & Julia;julieandjulia;0;0
2005;Junebug;junebug;0;0
2007;Juno;juno;126;1
2007;Katyn;;1;0
2005;King Kong;kingkong05;1;1
2004;Kinsey;kinsey;2;0
2012;Kon-Tiki;kontiki;1;0
2007;La Vie en Rose;lavieenrose;4;1
2001;Lagaan;lagaan;1;0
2007;Lars and the Real Girl;larsandtherealgirl;0;0
2012;Les Misérables;;24;1
2006;Letters from Iwo Jima;lettersfromiwojima;0;1
2014;Leviathan;;6;0
2012;Life of Pi;lifeofpi;134;1
2012;Lincoln;lincoln;650;1
2006;Little Children;littlechildren;1;0
2006;Little Miss Sunshine;littlemisssunshine;6;1
2013;Lone Survivor;lonesurvivor;10;0
2003;Lost in Translation;lostintranslation;13;1
2000;Malèna;;0;0
2014;Maleficent;maleficient;19;0
2011;Margin Call;margincall;0;0
2004;Maria Full of Grace;mariafullofgrace;0;0
2006;Marie Antoinette;marieantoinette;1;1
2003;Master and Commander: The Far Side of the World;masterandcommander;0;1
2005;Match Point;matchpoint;0;0
2001;Memento;memento;6;0
2005;Memoirs of a Geisha;memoirsofageisha;0;1
2007;Michael Clayton;michaelclayton;1;1
2011;Midnight in Paris;midnightinparis;5;1
2008;Milk;milk;250;1
2004;Million Dollar Baby;milliondollarbaby;25;1
2002;Minority Report;minorityreport;2;0
2012;Mirror Mirror;untitledsnowwhite;1;0
2011;Moneyball;moneyball;21;0
2007;Mongol;mongol;7;0
2011;Monsieur Lazhar;;0;0
2003;Monster;monster;147;1
2001;Monsters, Inc.;monstersinc;0;0
2012;Moonrise Kingdom;moonrisekingdom;9;0
2001;Moulin Rouge;;19;1
2014;Mr. Turner;mrturner;2;0
2005;Mrs. Henderson Presents;mrshendersonpresents;0;0
2001;Mulholland Drive;mulhollanddrive;1;0
2005;Munich;munich;131;0
2002;My Big Fat Greek Wedding;mybigfatgreekwedding;2;0
2011;My Week with Marilyn;myweekwithmarilyn;4;0
2003;Mystic River;mysticriver;6;1
2013;Nebraska;nebraska;390;0
2014;Nightcrawler;nightcrawlers;96;0
2009;Nine;nine;136;0
2007;No Country for Old Men;nocountryforoldmen;7;1
2007;Norbit;norbit;2;0
2005;North Country;northcountry;0;0
2006;Notes on a Scandal;notesonascandal;0;0
2002;Nowhere in Africa;nowhereinafrica;0;1
2000;O Brother, Where Art Thou?;obrotherwhereartthou;0;0
2010;Outside the Law (Hors-la-loi);outsidethelaw;0;0
2005;Paradise Now;paradisenow;0;0
2001;Pearl Harbor;pearlharbor;30;1
2013;Philomena;philomena;258;0
2003;Pieces of April;piecesofapril;0;0
2007;Pirates of the Caribbean: At World's End;piratesofthecaribbean3;2;0
2006;Pirates of the Caribbean: Dead Man's Chest;piratesofthecaribbean2;2;1
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;2;0
2000;Pollock;pollock;4;1
2006;Poseidon;poseidon;0;0
2009;Precious: Based on the Novel 'Push' by Sapphire;;39;1
2005;Pride & Prejudice;;0;0
2013;Prisoners;prisoners;41;0
2012;Prometheus;prometheus;1;0
2000;Quills;quills;1;0
2010;Rabbit Hole;rabbithole;0;0
2008;Rachel Getting Married;rachelgettingmarried;0;0
2007;Ratatouille;ratatouille;7;0
2004;Ray;ray;4174;1
2011;Real Steel;realsteel;1;0
2000;Requiem for a Dream;requiemforadream;4;0
2008;Revanche;revanche;2;0
2008;Revolutionary Road;revolutionaryroad;1;0
2011;Rise of the Planet of the Apes;riseoftheapes;0;0
2002;Road to Perdition;roadtoperdition;0;1
2003;Seabiscuit;seabiscuit;0;0
2001;Sexy Beast;sexybeast;0;0
2000;Shadow of the Vampire;shadowofthevampire;0;0
2009;Sherlock Holmes;sherlockholmes;3;0
2001;Shrek;shrek;26;0
2004;Sideways;sideways;18;1
2012;Silver Linings Playbook;silverliningsplaybook;147;1
2012;Skyfall;bond23;34;1
2008;Slumdog Millionaire;slumdogmillionaire;31;1
2012;Snow White and the Huntsman;snowwhiteandthehuntsman;0;0
2001;Son of the Bride;sonofthebride;0;0
2005;Sophie Scholl - The Final Days;sophiescholl;0;0
2000;Space Cowboys;spacecowboys;0;0
2002;Spider-Man;spiderman;7;0
2004;Spider-Man 2;spiderman2;1;1
2009;Star Trek;startrek11;15;1
2013;Star Trek Into Darkness;startrek12;6;0
2002;Star Wars Episode II Attack of the Clones;;0;0
2005;Star Wars: Episode III Revenge of the Sith;;76;0
2014;Still Alice;stillalice;310;1
2006;Superman Returns;superman06;0;0
2007;Sweeney Todd The Demon Barber of Fleet Street;;0;1
2005;Syriana;syriana;5;1
2002;Talk to Her;talktoher;3;1
2014;Tangerines;tangerines;3;0
2001;The Affair of the Necklace;affairofthenecklace;0;0
2011;The Artist;artist;502;1
2007;The Assassination of Jesse James by the Coward Robert Ford;jessejames;0;0
2004;The Aviator;aviator;26;1
2008;The Baader Meinhof Complex;baadermeinhofcomplex;0;0
2003;The Barbarian Invasions;barbarianinvasions;0;1
2006;The Black Dahlia;blackdahlia;1;0
2009;The Blind Side;blindside;28;1
2007;The Bourne Ultimatum;bourneultimatum;1;1
2013;The Broken Circle Breakdown;;4;0
2000;The Cell;cell;263;0
2004;The Chorus (Les Choristes);;0;0
2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;narnia;0;1
2005;The Constant Gardener;constantgardener;0;1
2000;The Contender;contender;229;0
2003;The Cooler;cooler;12;0
2007;The Counterfeiters;counterfeiters;0;1
2008;The Curious Case of Benjamin Button;curiouscaseofbenjaminbutton;6;1
2008;The Dark Knight;darkknight;50;1
2006;The Departed;departed;34;1
2011;The Descendants;descendents;9;1
2006;The Devil Wears Prada;devilwearsprada;2;0
2007;The Diving Bell and the Butterfly;divingbellandthebutterfly;0;0
2008;The Duchess;duchess;17;1
2010;The Fighter;fighter10;57;1
2011;The Girl with the Dragon Tattoo;girlwiththedragontattoo;2;1
