year;name;boxOfficeId;won;twitter_mentions
2000;Traffic;traffic;1;378467
2000;Almost Famous;almostfamous;0;2449
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;198
2000;Gladiator;gladiator;0;32604
2000;Traffic;traffic;1;378467
2000;Wonder Boys;wonderboys;0;16
2000;Amores Perros;amoresperros;0;43
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;1;198
2000;Divided We Fall;dividedwefall;0;20
2000;Everybody Famous!;;0;0
2000;The Taste of Others;tasteofothers;0;0
2000;The Cell;cell;0;227
2000;Shadow of the Vampire;shadowofthevampire;0;2
2000;Chocolat;chocolat;0;609825
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;198
2000;Erin Brockovich;erinbrockovich;0;671
2000;Gladiator;gladiator;1;32604
2000;Traffic;traffic;0;378467
2000;Cast Away;castaway;0;344
2000;Gladiator;gladiator;1;32604
2000;The Patriot;patriot;0;1252
2000;The Perfect Storm;perfectstorm;0;68
2000;U-571;u-571;0;19
2000;Space Cowboys;spacecowboys;0;16
2000;U-571;u-571;1;19
2000;Gladiator;gladiator;1;32604
2000;Hollow Man;hollowman;0;28
2000;The Perfect Storm;perfectstorm;0;68
2000;Chocolat;chocolat;0;609825
2000;Crouching Tiger, Hidden Dragon;crouchingtigerhiddendragon;0;198
2000;O Brother, Where Art Thou?;obrotherwhereartthou;0;21
2000;Traffic;traffic;1;378467
2000;Wonder Boys;wonderboys;0;16
2000;Almost Famous;almostfamous;1;2449
2000;Billy Elliot;billyelliot;0;1798
2000;Erin Brockovich;erinbrockovich;0;671
2000;Gladiator;gladiator;0;32604
2000;You Can Count on Me;youcancountonme;0;22
2001;A Beautiful Mind;beautifulmind;0;1067
2001;I Am Sam;iamsam;0;61
2001;Ali;ali;0;268920
2001;Training Day;trainingday;1;387
2001;In the Bedroom;inthebedroom;0;47
2001;Iris;iris;1;37145
2001;Training Day;trainingday;0;387
2001;Sexy Beast;sexybeast;0;53
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;842
2001;Ali;ali;0;268920
2001;Iris;iris;0;37145
2001;Moulin Rouge;;0;6193
2001;In the Bedroom;inthebedroom;0;47
2001;A Beautiful Mind;beautifulmind;1;1067
2001;Gosford Park;gosfordpark;0;75
2001;Gosford Park;gosfordpark;0;75
2001;In the Bedroom;inthebedroom;0;47
2001;Iris;iris;0;37145
2001;Amélie;;0;1850
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;842
2001;Moulin Rouge;;1;6193
2001;Amélie;;0;1850
2001;Black Hawk Down;blackhawkdown;0;1279
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;842
2001;Moulin Rouge;;0;6193
2001;The Affair of the Necklace;affairofthenecklace;0;0
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;842
2001;Moulin Rouge;;1;6193
2001;A Beautiful Mind;beautifulmind;1;1067
2001;Black Hawk Down;blackhawkdown;0;1279
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;842
2001;Mulholland Drive;mulhollanddrive;0;581
2001;A Beautiful Mind;beautifulmind;0;1067
2001;Black Hawk Down;blackhawkdown;1;1279
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;842
2001;Memento;memento;0;7135
2001;Moulin Rouge;;0;6193
2001;Amélie;;0;1850
2001;Elling;elling;0;1764
2001;Lagaan;lagaan;0;106
2001;Son of the Bride;sonofthebride;0;0
2001;A Beautiful Mind;beautifulmind;0;1067
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;842
2001;A Beautiful Mind;beautifulmind;1;1067
2001;Gosford Park;gosfordpark;0;75
2001;In the Bedroom;inthebedroom;0;47
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;842
2001;Moulin Rouge;;0;6193
2001;Black Hawk Down;blackhawkdown;1;1279
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;842
2001;Pearl Harbor;pearlharbor;0;728
2001;Monsters, Inc.;monstersinc;0;409
2001;Pearl Harbor;pearlharbor;1;728
2001;A.I. Artificial Intelligence;ai;0;13
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;842
2001;Pearl Harbor;pearlharbor;0;728
2001;A Beautiful Mind;beautifulmind;1;1067
2001;Ghost World;ghostworld;0;15
2001;In the Bedroom;inthebedroom;0;47
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;842
2001;Shrek;shrek;0;2908
2001;Gosford Park;gosfordpark;1;75
2001;Memento;memento;0;7135
2001;The Royal Tenenbaums;royaltenenbaums;0;256
2002;The Pianist;pianist;1;922
2002;Adaptation;;0;766
2002;The Quiet American;quietamerican;0;2
2003;Mystic River;mysticriver;0;1862
2003;City of God;cityofgod;0;910
2003;Cold Mountain;coldmountain;0;58
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;842
2003;Master and Commander: The Far Side of the World;masterandcommander;0;48
2003;Seabiscuit;seabiscuit;0;969
2003;The Barbarian Invasions;barbarianinvasions;1;4
2003;Evil;;0;31769
